unnamed:_0,pays/zone,pib_1980,pib_1981,pib_1982,pib_1983,pib_1984,pib_1985,pib_1986,pib_1987,pib_1988,pib_1989,pib_1990,pib_1991,pib_1992,pib_1993,pib_1994,pib_1995,pib_1996,pib_1997,pib_1998,pib_1999,pib_2000,pib_2001,pib_2002,pib_2003,pib_2004,pib_2005,pib_2006,pib_2007,pib_2008,pib_2009,pib_2010,pib_2011,pib_2012,pib_2013,pib_2014,pib_2015,pib_2016,pib_2017,pib_2018,pib_2019,pib_2020,pib_2021,pib_2022,pib_2023
173,Tanzanie,10.873,13.005,14.932,15.294,13.915,12.556,15.874,7.821,7.474,6.444,5.172,6.019,5.588,5.17,5.478,6.382,7.889,9.341,11.481,11.777,12.369,12.61,13.125,14.159,15.576,17.174,18.867,21.807,27.762,28.985,31.533,34.067,39.651,45.681,50.002,47.384,49.774,53.227,56.699,60.701,65.549,69.938,77.065,84.033
174,Taïwan,42.285,48.969,49.535,54.148,61.071,63.617,78.195,105.039,126.473,152.704,166.622,187.14,222.911,236.339,256.247,279.059,292.494,303.284,279.964,303.83,330.68,299.276,307.439,317.381,346.924,374.06,386.45,406.907,415.901,390.829,444.281,483.974,495.61,512.943,535.328,534.515,543.081,590.733,609.198,611.396,673.178,775.741,760.46,751.93
175,Tchad,0.738,0.873,0.844,0.844,0.907,0.983,1.211,1.372,1.604,1.515,1.826,1.809,1.886,1.648,1.335,1.636,1.819,1.748,1.975,1.739,1.572,1.936,2.257,3.102,5.003,6.676,7.451,8.687,10.43,9.315,10.701,12.183,12.411,12.994,14.003,10.952,10.202,10.079,11.042,10.993,10.757,11.79,12.096,12.596
178,Thaïlande,33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.889,146.684,169.279,183.035,150.18,113.676,126.539,126.132,120.296,134.301,152.281,172.896,189.318,221.758,262.943,291.383,281.711,341.105,370.819,397.558,420.334,407.339,401.296,413.366,456.357,506.754,543.977,500.457,505.568,495.424,512.193
180,Togo,1.994,1.656,1.396,1.33,1.222,1.281,1.795,2.107,2.345,2.302,2.772,2.74,2.873,2.189,1.697,2.24,2.448,2.494,2.361,2.37,2.014,2.0,2.301,2.854,3.048,3.08,3.173,3.76,4.578,4.717,4.75,5.421,5.417,6.022,6.395,5.756,6.069,6.385,7.033,6.993,7.4,8.338,8.144,9.111
181,Tonga,0.071,0.079,0.079,0.077,0.081,0.076,0.09,0.098,0.115,0.139,0.144,0.169,0.178,0.183,0.189,0.207,0.218,0.222,0.212,0.199,0.205,0.181,0.183,0.202,0.231,0.262,0.292,0.299,0.344,0.312,0.367,0.415,0.471,0.451,0.44,0.437,0.421,0.46,0.481,0.511,0.49,0.47,0.498,0.547
182,Trinité-et-Tobago,6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.926,8.295,8.96,9.148,11.464,13.472,16.17,18.6,21.937,28.193,19.52,22.522,25.789,26.845,28.188,29.174,26.502,23.208,23.45,23.964,23.158,20.203,23.923,30.053,27.887
183,Tunisie,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,14.133,14.897,17.809,16.724,17.886,20.616,22.324,21.762,22.87,24.066,22.524,23.146,24.274,28.797,32.71,33.851,36.059,40.819,47.039,45.593,46.21,48.122,47.311,48.681,50.273,45.779,44.36,42.167,42.687,41.905,42.54,46.688,46.361,51.271
185,Turquie,96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,219.176,248.573,179.359,233.566,250.486,261.857,275.834,256.566,274.321,202.248,240.191,314.752,409.127,506.186,555.126,680.489,770.82,648.797,776.558,838.508,880.141,957.504,938.512,864.071,869.28,858.932,780.19,760.52,720.159,818.337,905.841,1154.6
188,Union européenne,3213.784,2841.605,2754.678,2693.519,2592.423,2669.607,3659.618,4484.642,4953.683,5042.513,6208.887,6618.138,7299.107,6670.985,7078.072,8285.369,8417.604,7729.525,7966.201,7927.227,7272.116,7384.238,8068.121,9917.201,11400.428,11902.764,12700.44,14719.914,16292.162,14749.561,14566.627,15763.067,14649.618,15294.84,15654.986,13554.454,13884.826,14761.536,15987.418,15694.999,15370.057,17273.296,16713.03,18351.127
190,Uruguay,12.217,13.636,11.147,6.119,5.819,5.686,7.059,8.832,9.137,9.63,11.204,13.502,15.515,18.064,21.04,23.267,24.73,26.155,27.704,26.178,24.892,22.802,14.863,13.159,14.959,18.986,21.416,25.603,33.151,34.565,43.967,52.354,55.938,62.857,62.546,58.218,57.58,65.068,65.229,62.056,53.664,61.413,71.177,76.244
191,Vanuatu,0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.517,0.582,0.59,0.652,0.738,0.736,0.755,0.774,0.744,0.775,0.88,0.929,0.93,1.008,0.942,1.073,1.166
192,Venezuela,69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.684,91.836,97.517,117.596,123.119,95.258,83.684,112.254,143.375,178.521,232.857,306.764,268.624,318.281,316.482,372.592,258.931,214.69,125.449,112.915,115.883,102.021,73.003,43.788,57.666,92.104,92.21
193,Vietnam,35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.426,124.756,129.022,143.212,171.312,195.169,212.728,232.888,236.795,252.146,277.071,304.47,331.818,346.31,369.736,406.452,433.356
196,Zambie,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,3.87,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,18.111,22.148,29.742,29.536
199,Égypte,23.523,25.76,30.479,37.254,41.888,48.841,54.076,77.359,92.53,115.362,96.087,48.431,44.168,49.526,54.55,63.25,71.118,79.777,89.189,95.039,104.752,102.273,90.261,85.163,82.855,94.127,112.902,137.055,170.797,198.316,230.024,247.726,294.482,303.194,321.634,350.119,351.443,246.826,263.156,317.894,382.525,423.3,475.231,398.397
200,Émirats arabes unis,41.725,46.461,43.205,39.588,39.245,38.519,30.526,33.519,34.069,39.325,50.682,49.3,51.952,52.144,57.395,63.432,72.853,77.167,75.304,84.42,102.987,103.312,109.816,124.346,147.812,180.616,222.117,257.883,315.464,253.547,300.189,360.833,384.61,400.219,414.105,370.276,369.255,390.517,427.049,417.99,349.473,415.179,507.064,509.179
201,Équateur,16.84,17.243,17.214,15.129,16.101,18.83,13.816,12.91,12.277,12.049,12.236,13.73,15.012,17.537,21.147,22.968,24.035,27.009,27.474,19.74,18.319,24.468,28.549,32.433,36.592,41.507,46.802,51.008,61.763,62.52,69.555,79.277,87.925,95.13,101.726,99.29,99.938,104.296,107.562,108.108,99.291,106.166,115.049,118.686
204,États-Unis,2857.325,3207.025,3343.8,3634.025,4037.65,4339.0,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9631.175,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16843.225,17550.675,18206.025,18695.1,19477.35,20533.075,21380.95,21060.45,23315.075,25462.725,26949.643
205,Éthiopie,7.385,7.578,7.973,8.863,8.375,9.808,10.188,10.89,11.285,11.872,12.595,13.928,14.696,9.143,8.135,7.887,8.794,8.621,7.815,7.515,8.167,8.103,7.828,8.604,10.122,12.387,15.31,19.329,26.25,28.672,26.887,30.48,42.221,46.544,54.165,63.081,72.12,76.841,80.207,92.608,96.611,99.269,120.369,155.804
207,Îles Salomon,0.183,0.194,0.193,0.181,0.182,0.166,0.148,0.155,0.176,0.173,0.215,0.228,0.269,0.301,0.403,0.469,0.511,0.527,0.458,0.488,0.42,0.41,0.346,0.353,0.398,0.477,0.539,0.62,0.699,0.736,0.847,1.05,1.185,1.286,1.336,1.308,1.379,1.47,1.615,1.619,1.536,1.545,1.591,1.69
